iteracion,tiempo_segundos
1,0.000326952
2,0.000279444
3,0.0002348
4,0.000158005
5,0.000242133
6,0.000241001
7,0.000158827
8,0.000158216
9,0.000157685
10,0.00016028
11,0.000157585
12,0.000157505
13,0.000157755
14,0.000157736
15,0.000157495
16,0.000157705
17,0.000159729
18,0.000157555
19,0.000157625
20,0.000157515
21,0.000157465
22,0.000157665
23,0.000160972
24,0.000157545
25,0.000157615
26,0.000158246
27,0.000158406
28,0.000158607
29,0.000160431
30,0.000158476
31,0.000158576
32,0.000158516

Promedio:,0.00017494
Desviacion:, 4.10808e-05
