iteracion,tiempo_segundos
1,0.000296956
2,0.00027269
3,0.000253916
4,0.000249798
5,0.000249537
6,0.000249747
7,0.00026146
8,0.00025108
9,0.000250038
10,0.000280795
11,0.000565819
12,0.000402733
13,0.000323836
14,0.00032044
15,0.000299531
16,0.000251881
17,0.000253405
18,0.000249868
19,0.000249587
20,0.00026147
21,0.000253785
22,0.000249708
23,0.000250559
24,0.000253885
25,0.00025105
26,0.0002511
27,0.00025125
28,0.000253244
29,0.000251221
30,0.00025097
31,0.00025099
32,0.000385642

Promedio:,0.000279625
Desviacion:, 6.38018e-05
