iteracion,tiempo_segundos
1,0.000280696
2,0.000271087
3,0.000216906
4,0.000217007
5,0.000216826
6,0.000219551
7,0.000216856
8,0.000216976
9,0.000216666
10,0.000220393
11,0.000216656
12,0.000216595
13,0.000216686
14,0.000216616
15,0.000219761
16,0.000216436
17,0.000217737
18,0.000217818
19,0.000220382
20,0.000217747
21,0.000217017
22,0.000216575
23,0.000216766
24,0.0002188
25,0.000216636
26,0.000216666
27,0.000216615
28,0.000216686
29,0.00021867
30,0.000216675
31,0.000216585
32,0.000217447

Promedio:,0.000221079
Desviacion:, 1.42491e-05
