iteracion,tiempo_segundos
1,0.000139111
2,0.000136926
3,0.000145162
4,0.000136455
5,0.000136255
6,0.000136225
7,0.000136235
8,0.000136115
9,0.000136265
10,0.00013923
11,0.000136296
12,0.000136315
13,0.000136285
14,0.000136245
15,0.000136255
16,0.000136265
17,0.000136235
18,0.000139921
19,0.000136375
20,0.000136275
21,0.000136215
22,0.000136265
23,0.000136185
24,0.000136265
25,0.00013864
26,0.000136325
27,0.000136256
28,0.000136275
29,0.000136205
30,0.000136225
31,0.000136195
32,0.00013881

Promedio:,0.00013701
Desviacion:, 1.80562e-06
