iteracion,tiempo_segundos
1,0.000559207
2,0.000391773
3,0.000270387
4,0.000269975
5,0.00028322
6,0.000248926
7,0.000239318
8,0.000238827
9,0.000245901
10,0.000238867
11,0.000238917
12,0.000238376
13,0.000248244
14,0.000239138
15,0.000238627
16,0.000238687
17,0.000241653
18,0.000238657
19,0.000238527
20,0.000238757
21,0.000247083
22,0.000238877
23,0.000238727
24,0.000238787
25,0.000246842
26,0.000239168
27,0.000238987
28,0.000238687
29,0.000252633
30,0.000238827
31,0.000238767
32,0.000238667

Promedio:,0.000258814
Desviacion:, 6.06637e-05
