iteracion,tiempo_segundos
1,0.00017648
2,0.0001285
3,0.000113122
4,0.00011199
5,0.000115066
6,0.000111749
7,0.000111809
8,0.000111509
9,0.000111479
10,0.000114805
11,0.000110607
12,0.000110236
13,0.000110427
14,0.00011246
15,0.000110156
16,0.000110387
17,0.000110096
18,0.000110176
19,0.000110277
20,0.000110126
21,0.000110317
22,0.000110206
23,0.000114344
24,0.000110086
25,0.000109976
26,0.000110026
27,0.000110206
28,0.000110116
29,0.000110176
30,0.000110337
31,0.000110046
32,0.000112441

Promedio:,0.000113742
Desviacion:, 1.17516e-05
